model,feature,feature_type,training_missing_pct,training_unique_non_missing,kept,reason
Ridge — socioeconomic only,"current_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",numeric,0.22271714922048996,323,True,kept
Ridge — socioeconomic only,"current_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי",numeric,0.22271714922048996,275,True,kept
Ridge — socioeconomic only,"current_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת",numeric,0.22271714922048996,218,True,kept
Ridge — socioeconomic only,"current_feature__welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית",numeric,0.22271714922048996,191,True,kept
Ridge — socioeconomic only,"current_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",numeric,0.22271714922048996,425,True,kept
Ridge — socioeconomic only,current_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,numeric,0.22271714922048996,417,True,kept
Ridge — socioeconomic only,current_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,numeric,0.22271714922048996,406,True,kept
Ridge — socioeconomic only,current_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,numeric,5.79064587973274,255,True,kept
Ridge — socioeconomic only,"current_feature__welfare__מספר ילדים שבגינם שולמו קצבאות סה""כ",numeric,0.22271714922048996,435,True,kept
Ridge — socioeconomic only,current_feature__welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,numeric,0.22271714922048996,427,True,kept
Ridge — socioeconomic only,current_feature__welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,numeric,0.22271714922048996,435,True,kept
Ridge — socioeconomic only,current_feature__welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר,numeric,0.22271714922048996,381,True,kept
Ridge — socioeconomic only,current_feature__welfare_engineered__children_in_families_with_5plus_children_per_1000,numeric,12.694877505567929,392,True,kept
Ridge — socioeconomic only,"delta_feature__demographic__צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר",numeric,26.057906458797326,159,True,kept
Ridge — socioeconomic only,"delta_feature__demographic__סה""כ  אוכלוסייה בסוף השנה",numeric,14.92204899777283,188,True,kept
Ridge — socioeconomic only,delta_feature__demographic__סך כל הישראלים,numeric,57.23830734966593,1,False,missingness_above_threshold
Ridge — socioeconomic only,delta_feature__demographic__יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים,numeric,38.084632516703785,24,False,missingness_above_threshold
Ridge — socioeconomic only,"delta_feature__demographic__יהודים 
(אחוזים מתוך יהודים ואחרים",numeric,36.080178173719375,41,False,missingness_above_threshold
Ridge — socioeconomic only,delta_feature__demographic__ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים,numeric,60.57906458797328,1,False,missingness_above_threshold
Ridge — socioeconomic only,delta_feature__demographic__מוסלמים (אחוזים מתוך האוכלוסייה הערבית,numeric,41.87082405345212,29,False,missingness_above_threshold
Ridge — socioeconomic only,delta_feature__demographic__נוצרים (אחוזים מתוך האוכלוסייה הערבית,numeric,65.03340757238307,30,False,missingness_above_threshold
Ridge — socioeconomic only,delta_feature__demographic__דרוזים (אחוזים מתוך האוכלוסייה הערבית,numeric,74.61024498886414,15,False,missingness_above_threshold
Ridge — socioeconomic only,"delta_feature__demographic__סה""כ גברים בסוף השנה",numeric,14.92204899777283,184,True,kept
Ridge — socioeconomic only,"delta_feature__demographic__סה""כ נשים בסוף השנה",numeric,14.92204899777283,185,True,kept
Ridge — socioeconomic only,delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 4-0,numeric,14.92204899777283,157,True,kept
Ridge — socioeconomic only,delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 9-5,numeric,14.92204899777283,155,True,kept
Ridge — socioeconomic only,delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 14-10,numeric,14.92204899777283,158,True,kept
Ridge — socioeconomic only,delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 19-15,numeric,14.92204899777283,168,True,kept
Ridge — socioeconomic only,delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 29-20,numeric,14.92204899777283,174,True,kept
Ridge — socioeconomic only,delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 44-30,numeric,14.92204899777283,161,True,kept
Ridge — socioeconomic only,delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 59-45,numeric,14.92204899777283,170,True,kept
Ridge — socioeconomic only,delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 64-60,numeric,14.92204899777283,156,True,kept
Ridge — socioeconomic only,delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,numeric,14.92204899777283,170,True,kept
Ridge — socioeconomic only,delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 17-0,numeric,14.92204899777283,176,True,kept
Ridge — socioeconomic only,delta_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,numeric,14.92204899777283,172,True,kept
